label	plasticizers_ng_per_serving
Cherry Wax Red 1	10000
Cherry Wax Red 2	10000
Cherry Wax Red 3	10000
Cherry Wax Yellow 1	10000
Cherry Wax not ripen 1	10000
Cherry Wax not ripen 2	10000
Chestnut 1	10000
Clementine 1	10000
Cocos 1	10000
Corn 1	10000
Corn Husk 1	10000
Cucumber 1	10000
Cucumber 10	10000
Cucumber 11	10000
Cucumber 3	10000
Cucumber 4	10000
Cucumber 5	10000
Cucumber 7	10000
Cucumber 9	10000
Cucumber Ripe 1	10000
Cucumber Ripe 2	10000
Dates 1	10000
Eggplant 1	10000
Eggplant long 1	10000
Fig 1	10000
Ginger Root 1	10000
Gooseberry 1	50000
Granadilla 1	10000
Grape Blue 1	10000
Grape Pink 1	10000
Grape White 1	10000
Grape White 2	10000
Grape White 3	10000
Grape White 4	10000
Grapefruit Pink 1	10000
Grapefruit White 1	10000
Guava 1	10000
Hazelnut 1	10000
Huckleberry 1	50000
Kaki 1	10000
Kiwi 1	10000
Kohlrabi 1	10000
Kumquats 1	10000
Lemon 1	10000
Lemon Meyer 1	10000
Limes 1	10000
Lychee 1	10000
Mandarine 1	10000
Mango 1	10000
Mango Red 1	10000
Mangostan 1	10000
Maracuja 1	10000
Melon Piel de Sapo 1	10000
Mulberry 1	50000
Nectarine 1	10000
Nectarine Flat 1	10000
Nut Forest 1	10000
Nut Pecan 1	10000
Onion Red 1	10000
Onion Red Peeled 1	10000
Onion White 1	10000
Orange 1	10000
Papaya 1	10000
Passion Fruit 1	10000
Peach 1	10000
Peach 2	10000
Peach Flat 1	10000
Pear 1	10000
Pear 2	10000
Pear 3	10000
Pear Abate 1	10000
Pear Forelle 1	10000
Pear Kaiser 1	10000
Pear Monster 1	10000
Pear Red 1	10000
Pear Stone 1	10000
Pear Williams 1	10000
Pepino 1	10000
Pepper Green 1	10000
Pepper Orange 1	10000
Pepper Red 1	10000
Pepper Yellow 1	10000
Physalis 1	10000
Physalis with Husk 1	10000
Pineapple 1	50000
Pineapple Mini 1	50000
Pistachio 1	10000
Pitahaya Red 1	10000
Plum 1	10000
Plum 2	10000
Plum 3	10000
Pomegranate 1	10000
Pomelo Sweetie 1	10000
Potato Red 1	10000
Potato Red Washed 1	10000
Potato Sweet 1	10000
Potato White 1	10000
Quince 1	10000
Quince 2	10000
Quince 3	10000
Quince 4	10000
Rambutan 1	10000
Raspberry 1	50000
Redcurrant 1	10000
Salak 1	10000
Strawberry 1	50000
Strawberry Wedge 1	50000
Tamarillo 1	10000
Tangelo 1	10000
Tomato 1	10000
Tomato 10	10000
Tomato 2	10000
Tomato 3	10000
Tomato 4	10000
Tomato 5	10000
Tomato 7	10000
Tomato 8	43000
Tomato 9	10000
Tomato Cherry Maroon 1	10000
Tomato Cherry Orange 1	10000
Tomato Cherry Red 1	10000
Tomato Cherry Red 2	10000
Tomato Cherry Yellow 1	10000
Tomato Heart 1	10000
Tomato Maroon 1	10000
Tomato Maroon 2	10000
Tomato Yellow 1	10000
Tomato not Ripen 1	10000
Walnut 1	10000
Watermelon 1	10000
Zucchini 1	10000
Zucchini dark 1	10000
